block_number,timestamp,tx_count,gas_used,gas_limit,utilization
24913635,2026-04-19 11:28:23,203,28047245,60000000,0.4674540833333333
24913634,2026-04-19 11:28:11,228,30135896,60000000,0.5022649333333333
24913633,2026-04-19 11:27:59,229,29229570,60000000,0.4871595
24913632,2026-04-19 11:27:47,385,42617126,60000000,0.7102854333333334
24913631,2026-04-19 11:27:35,185,29065549,59999943,0.4844262768716297
24913630,2026-04-19 11:27:23,154,22777781,59941408,0.3800007667487557
24913629,2026-04-19 11:27:11,209,27564616,60000000,0.4594102666666667
24913628,2026-04-19 11:26:59,246,28557013,60000000,0.47595021666666665
24913627,2026-04-19 11:26:47,294,45300386,60000000,0.7550064333333333
24913626,2026-04-19 11:26:35,301,37641478,60000000,0.6273579666666667
24913625,2026-04-19 11:26:23,79,17859030,60000000,0.2976505
24913624,2026-04-19 11:26:11,247,33464217,60000000,0.55773695
24913623,2026-04-19 11:25:59,229,30558374,60000000,0.5093062333333334
24913622,2026-04-19 11:25:47,389,37185553,60000000,0.6197592166666667
24913621,2026-04-19 11:25:35,214,18110316,60000000,0.3018386
24913620,2026-04-19 11:25:23,236,27797980,60000000,0.46329966666666667
24913619,2026-04-19 11:25:11,226,25346220,60000000,0.422437
24913618,2026-04-19 11:24:59,247,30700249,60000000,0.5116708166666667
24913617,2026-04-19 11:24:47,255,30489015,60000000,0.50815025
24913616,2026-04-19 11:24:35,210,22056333,60000000,0.36760555
